"time","add.y","airHeaterTextWithIO.T_Out_ext"
0,20.15437025055696,20
0,20.15437025055696,20
0,20.04250465407269,20
0.3333333333333333,20.04250613371111,20.00000147963842
0.6666666666666666,20.04250611263739,20.0000014585647
1,20.04250609197924,20.00000143790654
1,19.98993795940683,20.00000143790654
1.333333333333333,19.98993793871775,20.00000141721746
1.666666666666667,19.98993791832547,20.00000139682518
2,19.98993789822341,20.00000137672312
2,19.92514710260587,20.00000137672312
2.333333333333333,19.92514708279705,20.00000135691431
2.666666666666667,19.92514706327297,20.00000133739022
3,19.9251548355566,20.00000910967386
3,20.19799031027202,20.00000910967386
3.333333333333333,20.20672619438421,20.00874499378605
3.333333333333333,20.20672619438421,20.00874499378605
3.666666666666667,20.21524923560266,20.0172680350045
4,20.22372198899173,20.02574078839357
4,20.18716081463949,20.02574078839357
4.333333333333333,20.19944101782215,20.03802099157623
4.666666666666667,20.21156654371452,20.0501465174686
5,20.22361315921639,20.06219313297047
5,20.18549554088087,20.06219313297047
5.333333333333333,20.2024779210257,20.0791755131153
5.666666666666667,20.21937932388659,20.09607691597619
6,20.23620044291977,20.11289803500938
6,19.94995208328966,20.11289803500938
6.333333333333333,19.94832766519685,20.11127361691657
6.333333333333333,19.94832766519685,20.11127361691657
6.666666666666667,19.94672662036144,20.10967257208116
7,19.94514853208316,20.10809448380288
7,20.28756620840385,20.10809448380288
7.333333333333333,20.28601090746232,20.10653918286135
7.666666666666667,20.28447796738788,20.10500624278691
8,20.28296708765988,20.10349536305891
8,20.20874607261425,20.10349536305891
8.333333333333334,20.20725694537131,20.10200623581597
8.666666666666666,20.20578922750764,20.10053851795229
9,20.2044386401897,20.09918793063436
9,20.10595541011066,20.09918793063436
9.333333333333334,20.11837577735098,20.11160829787467
9.333333333333334,20.11837577735098,20.11160829787467
9.666666666666666,20.13085611445434,20.12408863497804
10,20.14336960116251,20.13660212168621
10,20.03859955813141,20.13660212168621
10.33333333333333,20.03663407469292,20.13463663824772
10.33333333333333,20.03663407469292,20.13463663824772
10.66666666666667,20.03469687166461,20.13269943521941
11,20.03278748835455,20.13079005190935
11,19.8882823459857,20.13079005190935
11.33333333333333,19.8864004941206,20.12890820004424
11.66666666666667,19.88454564002775,20.1270533459514
12,19.88271752792394,20.12522523384758
12,19.92092670178789,20.12522523384758
12.33333333333333,19.91934349576131,20.123642027821
12.33333333333333,19.91934349576131,20.123642027821
12.66666666666667,19.91756448700631,20.12186301906601
13,19.91584317582742,20.12014170788712
13,20.0523677279683,20.12014170788712
13.33333333333333,20.05570716012661,20.12348114004543
13.33333333333333,20.05570716012661,20.12348114004543
13.66666666666667,20.05907185442711,20.12684583434593
14,20.06246800174215,20.13024198166097
14,19.95389840428129,20.13024198166097
14.33333333333333,19.96882882040157,20.14517239778125
14.33333333333333,19.96882882040157,20.14517239778125
14.66666666666667,19.98393910477846,20.16028268215814
15,19.99914847563671,20.17549205301638
15,20.00844136177215,20.17549205301638
15.33333333333333,20.02085836206463,20.18790905330886
15.33333333333333,20.02085836206463,20.18790905330886
15.66666666666667,20.03340473528724,20.20045542653148
16,20.04608536110307,20.21313605234731
16,20.45739857256582,20.21313605234731
16.33333333333333,20.45914151579158,20.21487899557307
16.33333333333333,20.45914151579158,20.21487899557307
16.66666666666667,20.46047447125844,20.21621195103992
17,20.46140129743768,20.21713877721917
17,20.1899849334129,20.21713877721917
17.33333333333333,20.1986742199665,20.22582806377277
17.66666666666667,20.20612450018009,20.23327834398636
18,20.21229973653971,20.23945358034597
18,20.04899519233364,20.23945358034597
18.33333333333333,20.05327447637006,20.24373286438239
18.33333333333333,20.05327447637006,20.24373286438239
18.66666666666667,20.05646607696248,20.24692446497481
19,20.05848533329477,20.2489437213071
19,20.00127838728202,20.2489437213071
19.33333333333333,19.99769650063374,20.24536183465883
19.33333333333333,19.99769650063374,20.24536183465883
19.66666666666667,19.99416615138474,20.24183148540983
20,19.99068645004988,20.23835178407497
20,19.99280748645846,20.23835178407497
20.33333333333333,19.98937800019351,20.23492229781002
20.66666666666667,19.98599771481879,20.23154201243529
21,19.98267693509037,20.22822123270687
21,20.16716132487277,20.22822123270687
21.33333333333333,20.16748133015921,20.22854123799331
21.33333333333333,20.16748133015921,20.22854123799331
21.66666666666667,20.1673879913137,20.2284478991478
22,20.1669786950657,20.2280386028998
22,20.24387007969047,20.2280386028998
22.33333333333333,20.2479460213543,20.23211454456363
22.66666666666667,20.252247895152,20.23641641836133
23,20.25677459916166,20.24094312237099
23,20.27653533404737,20.24094312237099
23.33333333333333,20.28112071066718,20.2455284989908
23.66666666666667,20.28593080575976,20.25033859408338
24,20.29094347029987,20.25535125862349
24,20.30623324354734,20.25535125862349
24.33333333333333,20.30255916030364,20.25167717537979
24.66666666666667,20.29893777285319,20.24805578792934
25,20.29536841250546,20.24448642758161
25,20.29806930059409,20.24448642758161
25.33333333333333,20.29455154130323,20.24096866829075
25.66666666666667,20.29108421776445,20.23750134475197
26,20.28766668937378,20.2340838163613
26,20.06720097691917,20.2340838163613
26.33333333333333,20.06383289122018,20.2307157306623
26.66666666666667,20.06051316098727,20.22739600042939
27,20.0572411833005,20.22412402274263
27,20.30564659118038,20.22412402274263
27.33333333333333,20.30242180921435,20.2208992407766
27.66666666666667,20.29924323679388,20.21772066835612
28,20.29611029834084,20.21458772990308
28,20.18998218163805,20.21458772990308
28.33333333333333,20.18689461498541,20.21150016325043
28.66666666666667,20.18385131233991,20.20845686060493
29,20.18085346035107,20.20545900861609
29,20.13152028978311,20.20545900861609
29.33333333333333,20.12878721787981,20.20272593671279
29.66666666666667,20.12621713080999,20.20015584964296
30,20.12369903668793,20.1976377555209
30,19.97615730262622,20.1976377555209
30.33333333333333,19.97331362360521,20.19479407649989
30.33333333333333,19.97331362360521,20.19479407649989
30.66666666666667,19.97051086091009,20.19199131380477
31,19.96774831090233,20.18922876379701
31,20.24307104414004,20.18922876379701
31.33333333333333,20.24034834891447,20.18650606857144
31.66666666666667,20.23766475342432,20.18382247308129
32,20.23501961529047,20.18117733494745
32,20.32283662630766,20.18117733494745
32.33333333333334,20.32022978539755,20.17857049403734
32.66666666666666,20.31766034335234,20.17600105199213
33,20.31523287389976,20.17357358253955
33,20.32487672289418,20.17357358253955
33.33333333333334,20.32858468352095,20.17728154316632
33.66666666666666,20.33251918972437,20.18121604936974
34,20.33667714802838,20.18537400767376
34,20.19531541213556,20.18537400767376
34.33333333333334,20.19264818126189,20.18270677680009
34.66666666666666,20.1900192459726,20.1800778415108
35,20.18742800149357,20.17748659703176
35,20.07846166340952,20.17748659703176
35.33333333333334,20.07590791991931,20.17493285354155
35.66666666666666,20.07339077862422,20.17241571224647
36,20.07090977641358,20.16993471003582
36,20.35792109878059,20.16993471003582
36.33333333333334,20.35547602056871,20.16748963182393
36.66666666666666,20.35306602050422,20.16507963175944
37,20.35069031772731,20.16270392898253
37,20.27604204354902,20.16270392898253
37.33333333333334,20.27370100426598,20.1603628896995
37.66666666666666,20.27139355054298,20.15805543597649
38,20.26911893474603,20.15578082017954
38,20.38373119708313,20.15578082017954
38.33333333333334,20.38148976983633,20.15353939293274
38.66666666666666,20.37928049907228,20.15133012216869
39,20.37710297811604,20.14915260121245
39,20.36201157518016,20.14915260121245
39.33333333333334,20.35986551699467,20.14700654302696
39.66666666666666,20.35775024708622,20.14489127311851
40,20.35566508008997,20.14280610612225
40,20.1624829151069,20.14280610612225
40.33333333333334,20.16042817298301,20.14075136399837
40.66666666666666,20.15840291361759,20.13872610463294
41,20.15640676517909,20.13672995619444
41,19.95789912029247,20.13672995619444
41.33333333333334,19.95593179829763,20.13476263419961
41.66666666666666,19.95399267177481,20.13282350767678
42,19.95208138455917,20.13091222046114
42,20.11195259644918,20.13091222046114
42.33333333333334,20.11006898184514,20.1290286058571
42.66666666666666,20.10821241607349,20.12717204008545
43,20.10638245816699,20.12534208217895
43,19.99300619546366,20.12534208217895
43.33333333333334,19.99120273109723,20.12353861781252
43.66666666666666,19.98942514000904,20.12176102672433
44,19.98779393284416,20.12012981955946
44,20.30124954367213,20.12012981955946
44.33333333333334,20.30596446325074,20.12484473913806
44.33333333333334,20.30596446325074,20.12484473913806
44.66666666666666,20.31086113574016,20.12974141162749
45,20.31593689017815,20.13481716606548
45,19.98961772760606,20.13481716606548
45.33333333333334,19.98767793252084,20.13287737098026
45.33333333333334,19.98767793252084,20.13287737098026
45.66666666666666,19.98576604786485,20.13096548632427
46,19.98392289280247,20.12912233126189
46,20.26895051205354,20.12912233126189
46.33333333333334,20.27081125852617,20.13098307773452
46.33333333333334,20.27081125852617,20.13098307773452
46.66666666666666,20.27280500909982,20.13297682830817
47,20.274880004502,20.13505182371035
47,20.30687866168758,20.13505182371035
47.33333333333334,20.30493549026862,20.13310865229139
47.66666666666666,20.30302019642558,20.13119335844835
48,20.30114683729049,20.12931999931325
48,20.37771777756576,20.12931999931325
48.33333333333334,20.37984991408214,20.13145213582963
48.66666666666666,20.38212939180723,20.13373161355472
49,20.38452450960577,20.13612673135326
49,20.38597413880588,20.13612673135326
