,# time,controlSignal,outputTemperature,ambienteTemperature
count,600001.0,600001.0,600001.0,600001.0
mean,300.00099999828717,1.4851311301606536,23.304571589162794,18.333336111106483
std,173.20551376732388,0.9756822710663062,2.411911348964104,0.7453590981243898
min,0.001,0.0,19.632971965800532,18.0
50%,300.00099999981774,1.9999893710775376,25.00000000000163,18.0
max,600.0009999927238,5.0,26.926411782360983,20.0
