,time,controlSignal,outputTemperature,ambienteTemperature,Reference.y
count,600008.0,600008.0,600008.0,600008.0,600008.0
mean,299.9991766776445,1.4779422744350368,23.279399187776754,18.333335555525927,23.33332222237037
std,173.20550807570237,0.9470843112070894,2.3861661819946223,0.745358601201965,2.3570284963934762
min,0.0,0.0,19.63254150598804,18.0,20.0
50%,299.9975,1.9999257517604354,25.00000000053771,18.0,25.0
max,600.0,5.0,25.94211071554073,20.0,25.0
